; ISO 3166-2:TD
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TD
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	TD-BA	Al Baţḩā’		ar	BGN/PCGN 1956	
province	TD-LC	Al Buḩayrah		ar	BGN/PCGN 1956	
province	TD-BG*	Bahr el Ghazal	Barh-el-Ghazal	fr		
province	TD-BA	Batha		fr		
province	TD-BG*	Baḩr al Ghazāl		ar	BGN/PCGN 1956	
province	TD-BO*	Borkou		fr		
province	TD-BO*	Būrkū		ar	BGN/PCGN 1956	
province	TD-CB	Chari-Baguirmi		fr		
province	TD-EE*	Ennedi-Est		fr		
province	TD-EO*	Ennedi-Ouest		fr		
province	TD-GR	Guéra		fr		
province	TD-HL*	Hadjer Lamis		fr		
province	TD-EO*	Inīdī al Gharbī		ar	BGN/PCGN 1956	
province	TD-EE*	Inīdī ash Sharqī		ar	BGN/PCGN 1956	
province	TD-KA	Kanem		fr		
province	TD-KA	Kānim		ar	BGN/PCGN 1956	
province	TD-LC	Lac		fr		
province	TD-LO	Logone-Occidental		fr		
province	TD-LR	Logone-Oriental		fr		
province	TD-LO	Lūghūn al Gharbī		ar	BGN/PCGN 1956	
province	TD-LR	Lūghūn ash Sharqī		ar	BGN/PCGN 1956	
province	TD-ND*	Madīnat Injamīnā		ar	BGN/PCGN 1956	
province	TD-MA*	Mandoul		fr		
province	TD-ME*	Mayo-Kebbi-Est		fr		
province	TD-MO*	Mayo-Kebbi-Ouest		fr		
province	TD-MC	Moyen-Chari		fr		
province	TD-MA*	Māndūl		ar	BGN/PCGN 1956	
province	TD-MO*	Māyū Kībbī al Gharbī		ar	BGN/PCGN 1956	
province	TD-ME*	Māyū Kībbī ash Sharqī		ar	BGN/PCGN 1956	
province	TD-OD	Ouaddaï		fr		
province	TD-GR	Qīrā		ar	BGN/PCGN 1956	
province	TD-SA	Salamat		fr		
province	TD-SA	Salāmāt		ar	BGN/PCGN 1956	
province	TD-CB	Shārī Bāqirmī		ar	BGN/PCGN 1956	
province	TD-MC	Shārī al Awsaţ		ar	BGN/PCGN 1956	
province	TD-SI*	Sila		fr		
province	TD-SI*	Sīlā		ar	BGN/PCGN 1956	
province	TD-TA	Tandjilé		fr		
province	TD-TI*	Tibastī		ar	BGN/PCGN 1956	
province	TD-TI*	Tibesti		fr		
province	TD-TA	Tānjīlī		ar	BGN/PCGN 1956	
province	TD-ND*	Ville de Ndjamena		fr		
province	TD-OD	Waddāy		ar	BGN/PCGN 1956	
province	TD-WF*	Wadi Fira		fr		
province	TD-WF*	Wādī Fīrā’		ar	BGN/PCGN 1956	
province	TD-HL*	Ḩajjar Lamīs		ar	BGN/PCGN 1956	
