; ISO 3166-2:TH
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TH
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	TH-37	Amnat Charoen		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-15	Ang Thong		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-38	Bueng Kan		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-31	Buri Ram		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-24	Chachoengsao		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-18	Chai Nat		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-36	Chaiyaphum		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-22	Chanthaburi		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-50	Chiang Mai		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-57	Chiang Rai		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-20	Chon Buri		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-86	Chumphon		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-46	Kalasin		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-62	Kamphaeng Phet		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-71	Kanchanaburi		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-40	Khon Kaen		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-81	Krabi		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
metropolitan administration	TH-10	Krung Thep Maha Nakhon	Bangkok	th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-52	Lampang		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-51	Lamphun		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-42	Loei		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-16	Lop Buri		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-58	Mae Hong Son		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-44	Maha Sarakham		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-49	Mukdahan		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-26	Nakhon Nayok		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-73	Nakhon Pathom		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-48	Nakhon Phanom		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-30	Nakhon Ratchasima		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-60	Nakhon Sawan		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-80	Nakhon Si Thammarat		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-55	Nan		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-96	Narathiwat		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
province	TH-39	Nong Bua Lam Phu		th	National 2000 = ISO 11940-2:2007 = UN VIII/12 2002	
