; ISO 3166-2:TL
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TL
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
municipality	TL-AL*	Aileu		pt		
municipality	TL-AL*	Aileu		-		
municipality	TL-AN*	Ainaro		pt		
municipality	TL-AN*	Ainaru		-		
municipality	TL-BA*	Baucau		pt		
municipality	TL-BA*	Baukau		-		
municipality	TL-BO*	Bobonaro		pt		
municipality	TL-BO*	Bobonaru		-		
municipality	TL-CO*	Cova Lima		pt		
municipality	TL-DI*	Díli		pt		
municipality	TL-DI*	Díli		-		
municipality	TL-ER*	Ermera		pt		
municipality	TL-ER*	Ermera		-		
municipality	TL-CO*	Kovalima		-		
municipality	TL-LA*	Lautein		-		
municipality	TL-LA*	Lautém		pt		
municipality	TL-LI*	Likisá		-		
municipality	TL-LI*	Liquiça		pt		
municipality	TL-MT*	Manatuto		pt		
municipality	TL-MT*	Manatutu		-		
municipality	TL-MF*	Manufahi		pt		
municipality	TL-MF*	Manufahi		-		
special administrative region	TL-OE*	Oekusi-Ambenu		-		
special administrative region	TL-OE*	Oé-Cusse Ambeno	Oecussi	pt		
municipality	TL-VI*	Vikeke		-		
municipality	TL-VI*	Viqueque		pt		
