; ISO 3166-2:TN
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TN
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
governorate	TN-13	Ben Arous		ar	conventional names	
governorate	TN-23	Bizerte		ar	conventional names	
governorate	TN-31	Béja		ar	conventional names	
governorate	TN-81	Gabès		ar	conventional names	
governorate	TN-71	Gafsa		ar	conventional names	
governorate	TN-32	Jendouba		ar	conventional names	
governorate	TN-41	Kairouan		ar	conventional names	
governorate	TN-42	Kasserine		ar	conventional names	
governorate	TN-73	Kébili		ar	conventional names	
governorate	TN-12	L'Ariana		ar	conventional names	
governorate	TN-14*	La Manouba		ar	conventional names	
governorate	TN-33	Le Kef		ar	conventional names	
governorate	TN-53	Mahdia		ar	conventional names	
governorate	TN-52	Monastir		ar	conventional names	
governorate	TN-82	Médenine		ar	conventional names	
governorate	TN-21	Nabeul		ar	conventional names	
governorate	TN-61	Sfax		ar	conventional names	
governorate	TN-43	Sidi Bouzid		ar	conventional names	
governorate	TN-34	Siliana		ar	conventional names	
governorate	TN-51	Sousse		ar	conventional names	
governorate	TN-83	Tataouine		ar	conventional names	
governorate	TN-72	Tozeur		ar	conventional names	
governorate	TN-11	Tunis		ar	conventional names	
governorate	TN-22	Zaghouan		ar	conventional names	
