; ISO 3166-2:TO
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TO
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
division	TO-01*	'Eua		en		
division	TO-01*	'Eua		to		
division	TO-02*	Ha'apai		en		
division	TO-02*	Ha'apai		to		
division	TO-03*	Niuas		en		
division	TO-03*	Niuas		to		
division	TO-04*	Tongatapu		en		
division	TO-04*	Tongatapu		to		
division	TO-05*	Vava'u		en		
division	TO-05*	Vava'u		to		
