; ISO 3166-2:TR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	TR-01	Adana		tr		
province	TR-02	Adıyaman		tr		
province	TR-03	Afyonkarahisar		tr		
province	TR-68	Aksaray		tr		
province	TR-05	Amasya		tr		
province	TR-06	Ankara		tr		
province	TR-07	Antalya		tr		
province	TR-75	Ardahan		tr		
province	TR-08	Artvin		tr		
province	TR-09	Aydın		tr		
province	TR-04	Ağrı		tr		
province	TR-10	Balıkesir		tr		
province	TR-74	Bartın		tr		
province	TR-72	Batman		tr		
province	TR-69	Bayburt		tr		
province	TR-11	Bilecik		tr		
province	TR-12	Bingöl		tr		
province	TR-13	Bitlis		tr		
province	TR-14	Bolu		tr		
province	TR-15	Burdur		tr		
province	TR-16	Bursa		tr		
province	TR-20	Denizli		tr		
province	TR-21	Diyarbakır		tr		
province	TR-81*	Düzce		tr		
province	TR-22	Edirne		tr		
province	TR-23	Elazığ		tr		
province	TR-24	Erzincan		tr		
province	TR-25	Erzurum		tr		
province	TR-26	Eskişehir		tr		
province	TR-27	Gaziantep		tr		
province	TR-28	Giresun		tr		
province	TR-29	Gümüşhane		tr		
province	TR-30	Hakkâri		tr		
province	TR-31	Hatay		tr		
province	TR-32	Isparta		tr		
province	TR-76	Iğdır		tr		
province	TR-46	Kahramanmaraş		tr		
province	TR-78	Karabük		tr		
province	TR-70	Karaman		tr		
province	TR-36	Kars		tr		
province	TR-37	Kastamonu		tr		
province	TR-38	Kayseri		tr		
province	TR-79	Kilis		tr		
province	TR-41	Kocaeli		tr		
province	TR-42	Konya		tr		
province	TR-43	Kütahya		tr		
province	TR-39	Kırklareli		tr		
province	TR-71	Kırıkkale		tr		
province	TR-40	Kırşehir		tr		
province	TR-44	Malatya		tr		
province	TR-45	Manisa		tr		
province	TR-47	Mardin		tr		
province	TR-33	Mersin		tr		
province	TR-48	Muğla		tr		
province	TR-49	Muş		tr		
province	TR-50	Nevşehir		tr		
province	TR-51	Niğde		tr		
province	TR-52	Ordu		tr		
province	TR-80*	Osmaniye		tr		
province	TR-53	Rize		tr		
province	TR-54	Sakarya		tr		
province	TR-55	Samsun		tr		
province	TR-56	Siirt		tr		
province	TR-57	Sinop		tr		
province	TR-58	Sivas		tr		
province	TR-59	Tekirdağ		tr		
province	TR-60	Tokat		tr		
province	TR-61	Trabzon		tr		
province	TR-62	Tunceli		tr		
province	TR-64	Uşak		tr		
province	TR-65	Van		tr		
province	TR-77	Yalova		tr		
province	TR-66	Yozgat		tr		
province	TR-67	Zonguldak		tr		
province	TR-17	Çanakkale		tr		
province	TR-18	Çankırı		tr		
province	TR-19	Çorum		tr		
province	TR-34	İstanbul		tr		
province	TR-35	İzmir		tr		
province	TR-63	Şanlıurfa		tr		
province	TR-73	Şırnak		tr		
