; ISO 3166-2:TT
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TT
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
borough	TT-ARI*	Arima		en		
borough	TT-CHA*	Chaguanas		en		
region	TT-CTT*	Couva-Tabaquite-Talparo		en		
region	TT-DMN*	Diego Martin		en		
region	TT-MRC*	Mayaro-Rio Claro		en		
region	TT-PED*	Penal-Debe		en		
borough	TT-PTF*	Point Fortin		en		
city	TT-POS*	Port of Spain		en		
region	TT-PRT*	Princes Town		en		
city	TT-SFO*	San Fernando		en		
region	TT-SJL*	San Juan-Laventille		en		
region	TT-SGE*	Sangre Grande		en		
region	TT-SIP*	Siparia		en		
ward	TT-TOB*	Tobago		en		
region	TT-TUP*	Tunapuna-Piarco		en		
