; ISO 3166-2:TW
; Source: https://www.iso.org/obp/ui/#iso:code:3166:TW
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	TW-CHA*	Changhua		zh	conventional names	
city	TW-CYI	Chiayi		zh	conventional names	
county	TW-CYQ*	Chiayi		zh	conventional names	
city	TW-HSZ	Hsinchu		zh	conventional names	
county	TW-HSQ*	Hsinchu		zh	conventional names	
county	TW-HUA*	Hualien		zh	conventional names	
special municipality	TW-KHH	Kaohsiung		zh	conventional names	
city	TW-KEE*	Keelung		zh	conventional names	
county	TW-KIN*	Kinmen		zh	conventional names	
county	TW-LIE*	Lienchiang		zh	conventional names	
county	TW-MIA*	Miaoli		zh	conventional names	
county	TW-NAN*	Nantou		zh	conventional names	
special municipality	TW-NWT*	New Taipei		zh	conventional names	
county	TW-PEN*	Penghu		zh	conventional names	
county	TW-PIF	Pingtung		zh	conventional names	
special municipality	TW-TXG	Taichung		zh	conventional names	
special municipality	TW-TNN	Tainan		zh	conventional names	
special municipality	TW-TPE	Taipei		zh	conventional names	
county	TW-TTT	Taitung		zh	conventional names	
special municipality	TW-TAO*	Taoyuan		zh	conventional names	
county	TW-ILA*	Yilan		zh	conventional names	
county	TW-YUN*	Yunlin		zh	conventional names	
