; ISO 3166-2:UA
; Source: https://www.iso.org/obp/ui/#iso:code:3166:UA
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
republic	UA-43	Avtonomna Respublika Krym		uk	National 2010 = UN X/9 2012	
region	UA-71	Cherkaska oblast		uk	National 2010 = UN X/9 2012	
region	UA-74	Chernihivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-77	Chernivetska oblast		uk	National 2010 = UN X/9 2012	
region	UA-12	Dnipropetrovska oblast		uk	National 2010 = UN X/9 2012	
region	UA-14	Donetska oblast		uk	National 2010 = UN X/9 2012	
region	UA-26	Ivano-Frankivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-63	Kharkivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-65	Khersonska oblast		uk	National 2010 = UN X/9 2012	
region	UA-68	Khmelnytska oblast		uk	National 2010 = UN X/9 2012	
region	UA-35	Kirovohradska oblast		uk	National 2010 = UN X/9 2012	
city	UA-30	Kyiv		uk	National 2010 = UN X/9 2012	
region	UA-32	Kyivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-09	Luhanska oblast		uk	National 2010 = UN X/9 2012	
region	UA-46	Lvivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-48	Mykolaivska oblast		uk	National 2010 = UN X/9 2012	
region	UA-51	Odeska oblast		uk	National 2010 = UN X/9 2012	
region	UA-53	Poltavska oblast		uk	National 2010 = UN X/9 2012	
region	UA-56	Rivnenska oblast		uk	National 2010 = UN X/9 2012	
city	UA-40	Sevastopol		uk	National 2010 = UN X/9 2012	
region	UA-59	Sumska oblast		uk	National 2010 = UN X/9 2012	
region	UA-61	Ternopilska oblast		uk	National 2010 = UN X/9 2012	
region	UA-05	Vinnytska oblast		uk	National 2010 = UN X/9 2012	
region	UA-07	Volynska oblast		uk	National 2010 = UN X/9 2012	
region	UA-21	Zakarpatska oblast		uk	National 2010 = UN X/9 2012	
region	UA-23	Zaporizka oblast		uk	National 2010 = UN X/9 2012	
region	UA-18	Zhytomyrska oblast		uk	National 2010 = UN X/9 2012	
