; ISO 3166-2:UG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:UG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	UG-314	Abim		en		UG-N
district	UG-301	Adjumani		en		UG-N
district	UG-322	Agago		en		UG-N
district	UG-323	Alebtong		en		UG-N
district	UG-315	Amolatar		en		UG-N
district	UG-324	Amudat		en		UG-N
district	UG-216	Amuria		en		UG-E
district	UG-316	Amuru		en		UG-N
district	UG-302	Apac		en		UG-N
district	UG-303	Arua		en		UG-N
district	UG-217	Budaka		en		UG-E
district	UG-218	Bududa		en		UG-E
district	UG-201	Bugiri		en		UG-E
district	UG-235	Bugweri		en		UG-E
district	UG-420	Buhweju		en		UG-W
district	UG-117	Buikwe		en		UG-C
district	UG-219	Bukedea		en		UG-E
district	UG-118	Bukomansibi		en		UG-C
district	UG-220	Bukwo		en		UG-E
district	UG-225	Bulambuli		en		UG-E
district	UG-416	Buliisa		en		UG-W
district	UG-401	Bundibugyo		en		UG-W
district	UG-430	Bunyangabu		en		UG-W
district	UG-402	Bushenyi		en		UG-W
district	UG-202	Busia		en		UG-E
district	UG-221	Butaleja		en		UG-E
district	UG-119	Butambala		en		UG-C
district	UG-233	Butebo		en		UG-E
district	UG-120	Buvuma		en		UG-C
district	UG-226	Buyende		en		UG-E
geographical region	UG-C*	Central		en		
district	UG-317	Dokolo		en		UG-N
geographical region	UG-E*	Eastern		en		
district	UG-121	Gomba		en		UG-C
district	UG-304	Gulu		en		UG-N
district	UG-403	Hoima		en		UG-W
district	UG-417	Ibanda		en		UG-W
district	UG-203	Iganga		en		UG-E
district	UG-418	Isingiro		en		UG-W
district	UG-204	Jinja		en		UG-E
district	UG-318	Kaabong		en		UG-N
district	UG-404	Kabale		en		UG-W
district	UG-405	Kabarole		en		UG-W
district	UG-213	Kaberamaido		en		UG-E
district	UG-427	Kagadi		en		UG-W
district	UG-428	Kakumiro		en		UG-W
district	UG-237	Kalaki		en		UG-E
district	UG-101	Kalangala		en		UG-C
district	UG-222	Kaliro		en		UG-E
district	UG-122	Kalungu		en		UG-C
city	UG-102	Kampala		en		UG-C
district	UG-205	Kamuli		en		UG-E
district	UG-413	Kamwenge		en		UG-W
district	UG-414	Kanungu		en		UG-W
district	UG-206	Kapchorwa		en		UG-E
district	UG-236	Kapelebyong		en		UG-E
district	UG-335	Karenga		en		UG-N
district	UG-126	Kasanda		en		UG-C
district	UG-406	Kasese		en		UG-W
district	UG-207	Katakwi		en		UG-E
district	UG-112	Kayunga		en		UG-C
district	UG-433	Kazo		en		UG-W
district	UG-407	Kibaale		en		UG-W
district	UG-103	Kiboga		en		UG-C
district	UG-227	Kibuku		en		UG-E
district	UG-432	Kikuube		en		UG-W
district	UG-419	Kiruhura		en		UG-W
district	UG-421	Kiryandongo		en		UG-W
district	UG-408	Kisoro		en		UG-W
district	UG-434	Kitagwenda		en		UG-W
district	UG-305	Kitgum		en		UG-N
district	UG-319	Koboko		en		UG-N
district	UG-325	Kole		en		UG-N
district	UG-306	Kotido		en		UG-N
district	UG-208	Kumi		en		UG-E
district	UG-333	Kwania		en		UG-N
district	UG-228	Kween		en		UG-E
district	UG-123	Kyankwanzi		en		UG-C
district	UG-422	Kyegegwa		en		UG-W
district	UG-415	Kyenjojo		en		UG-W
district	UG-125	Kyotera		en		UG-C
district	UG-326	Lamwo		en		UG-N
district	UG-307	Lira		en		UG-N
district	UG-229	Luuka		en		UG-E
district	UG-104	Luwero		en		UG-C
district	UG-124	Lwengo		en		UG-C
district	UG-114	Lyantonde		en		UG-C
district	UG-336	Madi-Okollo		en		UG-N
district	UG-223	Manafwa		en		UG-E
district	UG-320	Maracha		en		UG-N
district	UG-105	Masaka		en		UG-C
district	UG-409	Masindi		en		UG-W
district	UG-214	Mayuge		en		UG-E
district	UG-209	Mbale		en		UG-E
district	UG-410	Mbarara		en		UG-W
district	UG-423	Mitooma		en		UG-W
district	UG-115	Mityana		en		UG-C
district	UG-308	Moroto		en		UG-N
district	UG-309	Moyo		en		UG-N
district	UG-106	Mpigi		en		UG-C
district	UG-107	Mubende		en		UG-C
district	UG-108	Mukono		en		UG-C
district	UG-334	Nabilatuk		en		UG-N
district	UG-311	Nakapiripirit		en		UG-N
district	UG-116	Nakaseke		en		UG-C
district	UG-109	Nakasongola		en		UG-C
district	UG-230	Namayingo		en		UG-E
district	UG-234	Namisindwa		en		UG-E
district	UG-224	Namutumba		en		UG-E
district	UG-327	Napak		en		UG-N
district	UG-310	Nebbi		en		UG-N
district	UG-231	Ngora		en		UG-E
geographical region	UG-N*	Northern		en		
district	UG-424	Ntoroko		en		UG-W
district	UG-411	Ntungamo		en		UG-W
district	UG-328	Nwoya		en		UG-N
district	UG-337	Obongi		en		UG-N
district	UG-331	Omoro		en		UG-N
district	UG-329	Otuke		en		UG-N
district	UG-321	Oyam		en		UG-N
district	UG-312	Pader		en		UG-N
district	UG-332	Pakwach		en		UG-N
district	UG-210	Pallisa		en		UG-E
district	UG-110	Rakai		en		UG-C
district	UG-429	Rubanda		en		UG-W
district	UG-425	Rubirizi		en		UG-W
district	UG-431	Rukiga		en		UG-W
district	UG-412	Rukungiri		en		UG-W
district	UG-435	Rwampara		en		UG-W
district	UG-111	Sembabule		en		UG-C
district	UG-232	Serere		en		UG-E
district	UG-426	Sheema		en		UG-W
district	UG-215	Sironko		en		UG-E
district	UG-211	Soroti		en		UG-E
district	UG-212	Tororo		en		UG-E
district	UG-113	Wakiso		en		UG-C
geographical region	UG-W*	Western		en		
district	UG-313	Yumbe		en		UG-N
district	UG-330	Zombo		en		UG-N
