; ISO 3166-2:UY
; Source: https://www.iso.org/obp/ui/#iso:code:3166:UY
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
department	UY-AR*	Artigas		es		
department	UY-CA*	Canelones		es		
department	UY-CL*	Cerro Largo		es		
department	UY-CO*	Colonia		es		
department	UY-DU*	Durazno		es		
department	UY-FS*	Flores		es		
department	UY-FD*	Florida		es		
department	UY-LA*	Lavalleja		es		
department	UY-MA*	Maldonado		es		
department	UY-MO*	Montevideo		es		
department	UY-PA*	Paysandú		es		
department	UY-RV*	Rivera		es		
department	UY-RO*	Rocha		es		
department	UY-RN*	Río Negro		es		
department	UY-SA*	Salto		es		
department	UY-SJ*	San José		es		
department	UY-SO*	Soriano		es		
department	UY-TA*	Tacuarembó		es		
department	UY-TT*	Treinta y Tres		es		
