; ISO 3166-2:UZ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:UZ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	UZ-AN*	Andijon		uz		
region	UZ-BU*	Buxoro		uz		
region	UZ-FA*	Farg‘ona		uz		
region	UZ-JI*	Jizzax		uz		
region	UZ-NG*	Namangan		uz		
region	UZ-NW*	Navoiy		uz		
region	UZ-QA*	Qashqadaryo		uz		
republic	UZ-QR*	Qoraqalpog‘iston Respublikasi		uz		
region	UZ-SA*	Samarqand		uz		
region	UZ-SI*	Sirdaryo		uz		
region	UZ-SU*	Surxondaryo		uz		
region	UZ-TO*	Toshkent		uz		
city	UZ-TK*	Toshkent		uz		
region	UZ-XO*	Xorazm		uz		
