; ISO 3166-2:VU
; Source: https://www.iso.org/obp/ui/#iso:code:3166:VU
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	VU-MAP*	Malampa		en		
province	VU-MAP*	Malampa		fr		
province	VU-PAM*	Pénama		en		
province	VU-PAM*	Pénama		fr		
province	VU-SAM*	Sanma		en		
province	VU-SAM*	Sanma		fr		
province	VU-SEE*	Shéfa		en		
province	VU-SEE*	Shéfa		fr		
province	VU-TAE*	Taféa		en		
province	VU-TAE*	Taféa		fr		
province	VU-TOB*	Torba		en		
province	VU-TOB*	Torba		fr		
