; ISO 3166-2:WS
; Source: https://www.iso.org/obp/ui/#iso:code:3166:WS
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	WS-AA*	A'ana		en		
district	WS-AA*	A'ana		sm		
district	WS-AL*	Aiga-i-le-Tai		en		
district	WS-AL*	Aiga-i-le-Tai		sm		
district	WS-AT*	Atua		en		
district	WS-AT*	Atua		sm		
district	WS-FA*	Fa'asaleleaga		en		
district	WS-FA*	Fa'asaleleaga		sm		
district	WS-GE*	Gaga'emauga		en		
district	WS-GE*	Gaga'emauga		sm		
district	WS-GI*	Gagaifomauga		en		
district	WS-GI*	Gagaifomauga		sm		
district	WS-PA*	Palauli		en		
district	WS-PA*	Palauli		sm		
district	WS-SA*	Satupa'itea		en		
district	WS-SA*	Satupa'itea		sm		
district	WS-TU*	Tuamasaga		en		
district	WS-TU*	Tuamasaga		sm		
district	WS-VF*	Va'a-o-Fonoti		en		
district	WS-VF*	Va'a-o-Fonoti		sm		
district	WS-VS*	Vaisigano		en		
district	WS-VS*	Vaisigano		sm		
