; ISO 3166-2:YE
; Source: https://www.iso.org/obp/ui/#iso:code:3166:YE
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
governorate	YE-AB*	Abyan		ar	BGN/PCGN 1956	
governorate	YE-BA*	Al Bayḑā’		ar	BGN/PCGN 1956	
governorate	YE-JA*	Al Jawf		ar	BGN/PCGN 1956	
governorate	YE-MR*	Al Mahrah		ar	BGN/PCGN 1956	
governorate	YE-MW*	Al Maḩwīt		ar	BGN/PCGN 1956	
governorate	YE-HU*	Al Ḩudaydah		ar	BGN/PCGN 1956	
municipality	YE-SA*	Amānat al ‘Āşimah [city]		ar	BGN/PCGN 1956	
governorate	YE-SU*	Arkhabīl Suquţrá		ar	BGN/PCGN 1956	
governorate	YE-DA*	Aḑ Ḑāli‘		ar	BGN/PCGN 1956	
governorate	YE-DH*	Dhamār		ar	BGN/PCGN 1956	
governorate	YE-IB*	Ibb		ar	BGN/PCGN 1956	
governorate	YE-LA*	Laḩij		ar	BGN/PCGN 1956	
governorate	YE-MA*	Ma’rib		ar	BGN/PCGN 1956	
governorate	YE-RA*	Raymah		ar	BGN/PCGN 1956	
governorate	YE-SH*	Shabwah		ar	BGN/PCGN 1956	
governorate	YE-TA*	Tāʻizz		ar	BGN/PCGN 1956	
governorate	YE-SN*	Şanʻā’		ar	BGN/PCGN 1956	
governorate	YE-SD*	Şāʻdah		ar	BGN/PCGN 1956	
governorate	YE-HJ*	Ḩajjah		ar	BGN/PCGN 1956	
governorate	YE-HD*	Ḩaḑramawt		ar	BGN/PCGN 1956	
governorate	YE-AD*	‘Adan		ar	BGN/PCGN 1956	
governorate	YE-AM*	‘Amrān		ar	BGN/PCGN 1956	
