; ISO 3166-2:ZM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:ZM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	ZM-02*	Central		en		
province	ZM-08*	Copperbelt		en		
province	ZM-03*	Eastern		en		
province	ZM-04*	Luapula		en		
province	ZM-09*	Lusaka		en		
province	ZM-10*	Muchinga		en		
province	ZM-06*	North-Western		en		
province	ZM-05*	Northern		en		
province	ZM-07*	Southern		en		
province	ZM-01*	Western		en		
