; ISO 3166-2:ZW
; Source: https://www.iso.org/obp/ui/#iso:code:3166:ZW
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	ZW-BU*	Bulawayo		en		
province	ZW-HA*	Harare		en		
province	ZW-MA*	Manicaland		en		
province	ZW-MC*	Mashonaland Central		en		
province	ZW-ME*	Mashonaland East		en		
province	ZW-MW*	Mashonaland West		en		
province	ZW-MV*	Masvingo		en		
province	ZW-MN*	Matabeleland North		en		
province	ZW-MS*	Matabeleland South		en		
province	ZW-MI*	Midlands		en		
